origem,destino,tipo,evidencia,status
EF15LP14,EF15LP18,relacionada,EF15LP14,confirmada na planilha
EF15LP14,EF15LP18,mencao_comentario,EF15LP14,confirmada na planilha
EF15LP16,EF15LP15,relacionada,EF15LP16,confirmada na planilha
EF15LP16,EF35LP26,relacionada,EF15LP16,confirmada na planilha
EF15LP16,EF15LP15,mencao_comentario,EF15LP16,confirmada na planilha
EF15LP17,EF15LP18,relacionada,EF15LP17,confirmada na planilha
EF15LP17,EF15LP15,relacionada,EF15LP17,confirmada na planilha
EF15LP17,EF15LP18,mencao_comentario,EF15LP17,confirmada na planilha
EF15LP17,EF15LP15,mencao_comentario,EF15LP17,confirmada na planilha
EF15LP19,EF15LP18,relacionada,EF15LP19,confirmada na planilha
EF15LP19,EF12LP18,relacionada,EF15LP19,confirmada na planilha
EF15LP19,EF01LP18,relacionada,EF15LP19,confirmada na planilha
EF15LP19,EF04LP25,relacionada,EF15LP19,confirmada na planilha
EF15LP19,EF15LP18,mencao_comentario,EF15LP19,confirmada na planilha
EF12LP01,EF01LP09,relacionada,EF12LP01,confirmada na planilha
EF12LP01,EF01LP13,relacionada,EF12LP01,confirmada na planilha
EF12LP01,EF01LP03,relacionada,EF12LP01,confirmada na planilha
EF12LP04,EF12LP06,relacionada,EF12LP04,confirmada na planilha
EF12LP04,EF15LP02,relacionada,EF12LP04,confirmada na planilha
EF12LP04,EF15LP03,relacionada,EF12LP04,confirmada na planilha
EF12LP04,EF15LP04,relacionada,EF12LP04,confirmada na planilha
EF12LP06,EF12LP04,relacionada,EF12LP06,confirmada na planilha
EF12LP06,EF15LP13,relacionada,EF12LP06,confirmada na planilha
EF12LP06,EF12LP04,mencao_comentario,EF12LP06,confirmada na planilha
EF12LP07,EF12LP05,relacionada,EF12LP07,confirmada na planilha
EF12LP07,EF12LP03,relacionada,EF12LP07,confirmada na planilha
EF12LP05,EF15LP14,relacionada,EF12LP05,confirmada na planilha
EF12LP05,EF15LP17,relacionada,EF12LP05,confirmada na planilha
EF12LP05,EF12LP07,relacionada,EF12LP05,confirmada na planilha
EF12LP08,EF12LP11,relacionada,EF12LP08,confirmada na planilha
EF12LP08,EF12LP14,relacionada,EF12LP08,confirmada na planilha
EF12LP14,EF12LP08,relacionada,EF12LP14,confirmada na planilha
EF12LP14,EF12LP11,relacionada,EF12LP14,confirmada na planilha
EF12LP11,EF12LP08,relacionada,EF12LP11,confirmada na planilha
EF12LP11,EF12LP14,relacionada,EF12LP11,confirmada na planilha
EF12LP11,EF12LP14,mencao_comentario,EF12LP11,confirmada na planilha
EF12LP10,EF15LP02,relacionada,EF12LP10,confirmada na planilha
EF12LP10,EF15LP03,relacionada,EF12LP10,confirmada na planilha
EF12LP17,EF15LP03,relacionada,EF12LP17,confirmada na planilha
EF12LP19,EF12LP18,relacionada,EF12LP19,confirmada na planilha
EF12LP19,EF15LP17,relacionada,EF12LP19,confirmada na planilha
EF01LP02,EF01LP03,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP05,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP07,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP08,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP10,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP04,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP06,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP09,relacionada,EF01LP02,confirmada na planilha
EF01LP02,EF01LP13,relacionada,EF01LP02,confirmada na planilha
EF01LP11,EF01LP20,relacionada,EF01LP11,confirmada na planilha
EF01LP11,EF01LP24,relacionada,EF01LP11,confirmada na planilha
EF01LP11,EF12LP04,relacionada,EF01LP11,confirmada na planilha
EF01LP11,EF12LP08,relacionada,EF01LP11,confirmada na planilha
EF01LP11,EF12LP11,relacionada,EF01LP11,confirmada na planilha
EF01LP15,EF01LP01,relacionada,EF01LP15,confirmada na planilha
EF01LP15,EF01LP03,relacionada,EF01LP15,confirmada na planilha
EF01LP15,EF12LP01,relacionada,EF01LP15,confirmada na planilha
EF01LP15,EF01LP09,relacionada,EF01LP15,confirmada na planilha
EF01LP19,EF01LP06,relacionada,EF01LP19,confirmada na planilha
EF01LP19,EF01LP09,relacionada,EF01LP19,confirmada na planilha
EF01LP19,EF01LP12,relacionada,EF01LP19,confirmada na planilha
EF01LP19,EF01LP14,relacionada,EF01LP19,confirmada na planilha
EF01LP19,EF12LP18,relacionada,EF01LP19,confirmada na planilha
EF01LP19,EF12LP01,relacionada,EF01LP19,confirmada na planilha
EF01LP19,EF01LP06,mencao_comentario,EF01LP19,confirmada na planilha
EF01LP19,EF01LP09,mencao_comentario,EF01LP19,confirmada na planilha
